"filename", "language", "C++", "Swift", "JSON", "XML", "Markdown", "Dart", "YAML", "HTML", "Properties", "Groovy", "Java", "comment", "blank", "total"
"d:\Do_An\Client\honey_mobile\lib\views\onboarding\onboarding-email.dart", "Dart", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 7, 111
"d:\Do_An\Client\honey_mobile\lib\views\onboarding\onboarding-firstname.dart", "Dart", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 10, 137
"d:\Do_An\Client\honey_mobile\lib\views\onboarding\onboarding-gender-show.dart", "Dart", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 9, 136
"d:\Do_An\Client\honey_mobile\lib\views\onboarding\onboarding-gender.dart", "Dart", 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 9, 146
"d:\Do_An\Client\honey_mobile\lib\views\onboarding\onboarding-location.dart", "Dart", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 7, 108
"d:\Do_An\Client\honey_mobile\lib\views\onboarding\onboarding-passion.dart", "Dart", 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 12, 172
"d:\Do_An\Client\honey_mobile\lib\views\onboarding\onboarding-photo.dart", "Dart", 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 1, 14, 224
"d:\Do_An\Client\honey_mobile\lib\views\onboarding\onboarding-sex-orientation.dart", "Dart", 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 10, 147
"d:\Do_An\Client\honey_mobile\lib\views\onboarding\onboarding.dart", "Dart", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 4, 60
"d:\Do_An\Client\honey_mobile\lib\views\profile\profile.dart", "Dart", 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 0, 4, 235
"d:\Do_An\Client\honey_mobile\lib\views\profile\user-detail.dart", "Dart", 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 0, 6, 185
"d:\Do_An\Client\honey_mobile\lib\views\random-matching\random-chat.dart", "Dart", 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 4, 114
"d:\Do_An\Client\honey_mobile\lib\views\random-matching\random-phone-call.dart", "Dart", 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 4, 114
"d:\Do_An\Client\honey_mobile\lib\views\settings\setting-page.dart", "Dart", 0, 0, 0, 0, 0, 882, 0, 0, 0, 0, 0, 0, 5, 887
"d:\Do_An\Client\honey_mobile\lib\views\tabs\chat-container.dart", "Dart", 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 9, 128
"d:\Do_An\Client\honey_mobile\lib\views\tabs\chat-screen.dart", "Dart", 0, 0, 0, 0, 0, 330, 0, 0, 0, 0, 0, 2, 16, 348
"d:\Do_An\Client\honey_mobile\lib\views\tabs\home-page.dart", "Dart", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 8, 70
"d:\Do_An\Client\honey_mobile\lib\views\tabs\like-page-detail.dart", "Dart", 0, 0, 0, 0, 0, 351, 0, 0, 0, 0, 0, 25, 6, 382
"d:\Do_An\Client\honey_mobile\lib\views\tabs\list-matched-tab.dart", "Dart", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 9, 93
"d:\Do_An\Client\honey_mobile\lib\views\tabs\list-message-tab.dart", "Dart", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 9, 101
"d:\Do_An\Client\honey_mobile\lib\views\tabs\list-page.dart", "Dart", 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 0, 1, 7, 171
"d:\Do_An\Client\honey_mobile\lib\views\tabs\list-recently-match.dart", "Dart", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 11, 100
"d:\Do_An\Client\honey_mobile\lib\views\tabs\main-page.dart", "Dart", 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 6, 188
"d:\Do_An\Client\honey_mobile\lib\views\tabs\matching-page.dart", "Dart", 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 1, 8, 150
"d:\Do_An\Client\honey_mobile\lib\views\tabs\random-matching.dart", "Dart", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 4, 120
"d:\Do_An\Client\honey_mobile\lib\views\tabs\room-matching-page.dart", "Dart", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"d:\Do_An\Client\honey_mobile\lib\views\tabs\user-video-card.dart", "Dart", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 9, 41
"d:\Do_An\Client\honey_mobile\lib\views\welcome\welcome-onboard.dart", "Dart", 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 3, 159
"d:\Do_An\Client\honey_mobile\lib\views\welcome\welcome.dart", "Dart", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 4, 131
"d:\Do_An\Client\honey_mobile\lib\widgets\audio-message.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 7, 40
"d:\Do_An\Client\honey_mobile\lib\widgets\choice-button.dart", "Dart", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 3, 70
"d:\Do_An\Client\honey_mobile\lib\widgets\circular-loading-widget.dart", "Dart", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"d:\Do_An\Client\honey_mobile\lib\widgets\confetti-successful.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\Do_An\Client\honey_mobile\lib\widgets\custom-button.dart", "Dart", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 3, 7, 91
"d:\Do_An\Client\honey_mobile\lib\widgets\detail-message.dart", "Dart", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Do_An\Client\honey_mobile\lib\widgets\everyone-likes.dart", "Dart", 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 9, 132
"d:\Do_An\Client\honey_mobile\lib\widgets\image-container.dart", "Dart", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 5, 84
"d:\Do_An\Client\honey_mobile\lib\widgets\me-likes.dart", "Dart", 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 9, 127
"d:\Do_An\Client\honey_mobile\lib\widgets\small-image.dart", "Dart", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 4, 48
